English,Vietnamese,Column 1
,,
Bad,Xấu,
Beautiful,Đẹp,
Broken / Creaky Rising Tone,Ngã,
Buy,Mua,
Can,Có thể,
Can't,Không thể,
Car,Ô tô,
Carry,Mang,
Close (the door),Đóng cửa,
Come,Đến,
Cook,Nấu ăn,
Country,Đất nước / Nước,
Day,Ngày,
Dipping / Questioning Tone,Hỏi,
Do,Làm,
Drink,Uống,
Drive,Lái xe,
Eat,Ăn,
Falling Tone,Huyền,
Fly,Bay (chein - flight),
Go,Đi,
Good / Nice,Tốt,
Goodbye,Tạm biệt,
Heavy / Low Tone,Nặng,
Hello,Xin chào,
House,Nhà,
Hungry,Đói,
I / Me (general),Tôi,
Is / Are,Là,
Know,Biết,
Late,Muộn / Trễ,
Like,Thích,
Listen,Nghe,
Love,yêu,
Meet,Gặp,
Mid / Level Tone,Ngang,
My,Của tôi,
My name,Tên của tôi,
Name,Tên,
Need,Cần,
Nice to meet you,Rất vui được gặp bạn,
No / Don’t,Không,
Open,Mở cửa,
Park,Công viên,
Please,Hãy / Xin,
Please (formal\begging),Vui lòng / Làm ơn,
Read,Đọc,
Rising Tone,Sắc,
Run,Chạy,
See you again,Hẹn gặp lại,
Sell,Bán,
Sit down,Ngồi xuống,
Sleep,Ngủ,
Sorry,Xin lỗi,
Speak / Tell / Talk,Nói,
Stand up,Đứng dậy,
Study,Học,
Swim,Bơi,
Take / Get,Lấy,
Thank you,Cảm ơn,
Thirsty,Khát nước,
Today,Ngày hôm nay,
Tomorrow,Ngày mai,
Understand,Hiểu,
Very,Rất,
Wait,Đợi / Chờ,
Wake up,Ngủ dậy / Thức dậy,
Walk,Đi bộ,
Want,Muốn,
Watch,Xem,
Water,Nước,
We,Chúng ta,
Write,Viết,
Yes,Có / Vâng / Dạ,
Yesterday,Hôm qua,
You,Bạn,
You (Friend),Bạn,
Your,Của bạn,
2,,
One,Một,
Two,Hai,
Three,Ba,
Four,Bốn, Tư
Five,Năm,Lăm
Six,Sáu,
Seven,Bảy,
Eight,Tám,
Nine,Chín,
Ten,Mười,
Hundred,Trăm,
Thousand,Nghìn / Ngàn,
Million,Triệu,
3,,
When,"Khi nào?
Bao giờ?
Lúc nào?",End or start
Why,"Tại sao?
Vì sao?",start
Who,Ai,"If verb -> end
If no verb -> before"
What,"Cái gì, Gì?",in the end
How,"Thế nào?
Như thế nào?",in the end
Where,"Ở đâu?
Đâu?",in the end
4,,
Monday,Thứ Hai,
Tuesday,Thứ Ba,
Wednesday,Thứ Tư,
Thursday,Thứ Năm,
Friday,Thứ Sáu,
Saturday,Thứ Bảy,
Sunday,Chủ Nhật,
5,,
January,Tháng Một,
Ferbuary,Tháng Hai,
March,Tháng Ba,
Apr,Tháng Bốn,
May,Tháng Năm,
Junuary,Tháng Sáu,
July,Tháng Bảy,
August,Tháng Tám,
September,Tháng Chín,
October,Tháng Mười,
November,Tháng Mười Một ,
December,Tháng Mười Hai ,
,,
Film,Phim,
On (Mon/Fri/Jan/Nov),Vào,
Beer,Bia,
,,
Music,Trời mưa,
Raining,,
Work,Làm việc,
Person,Người,
,,
But,Nhưng,
And,Và,
Then,Sau đó,
Because,"Bởi vì, Vì",
"So, Should","Nên, Vậy",
Still,Vẫn,
"After, Then","Sau đó, sau khi",
"Also, too","Cũng như vậy, cũng",
Besides,Ngoài ra,
With,Với,
Start,Bắt đầu,
Finish,Kết thúc,
Next,Tiếp theo,
Continue,Tiếp tục,
Like,Như,
Huh? / Yes? (when someone calls),Zá,
,,
book,sách,
,,
Always,Luôn luôn,
Sometimes,Thỉnh thoảng,
Fruits,Trái cây,
It,nó,
Beach,bãi biển,
at,Ở,
weather,"trời, thời tiết, khí hậu",
Girl,con gái,
That,"Cái đó, đó",
Raining,trời mưa,
Working ,"Đang làm việc, làm việc",
the dress,chiếc váy,
,,
How much (money),Bao nhiêu tiền,end of sentences (after noun) (sometimes start)
How many,Bao nhiêu,after the noun (?)
What time,Mấy giờ,end of sentences (?)
How far,Bao xa,end of sentences (?)
How long,Bao lâu,end of sentences (?)
How old,Bao nhiêu tuổi,end of sentences
"Do you, are you",Bạn có...không?,
Can you,Bạn có thể.... Không?,
,,
The past,Quá khứ,
Past tense grammatical marker,Đã,
The present,Hiện tại,
Present tense grammatical marker,Đang,
The future,Tương lai,
Future tense grammatical marker,Sẽ,
,,
hotel,khách sạn,
,,
people,Người,
with,"Cùng, với",
job,Công việc,
busy,Bận,
"fun, happy",Vui,
workplace,Nơi làm việc,
working,Làm việc,
at,Ở,
place,Nơi,
about,khoảng,
hardworking,Chăm chỉ,
km,Cây số,
like that,Như thế,
by,bằng,
experience,Kinh nghiệm,
bicycle,Xe đạp,
make money,Kiếm tiền,
arrive,Tới nơi,
"quiet, pretty",Khá,
"else, more",Nữa,
evening,Buổi tối,
"hung out, play",Đi chơi,
or,"Hoặc, hay",
"good,","Ngoan, tốt",
for sure,Chắc chắn,
future,Tương lai,
see,Thấy,
more,Thêm,
have,Có,
"many, a lot",Nhiều,
a store,(Một) Cửa hàng,
near,Gần,
minutes,phút,
start,Bắt đầu,
"at,",Vào lúc,
o'clock,giờ,
a day,Một ngày,
hour,Tiếng,
salary,Lương,
month,tháng,
,,
this,này,
year,năm,
,,
Mix,Trộn,
"Turn, become",Thành,
Turn,"Rẽ, quẹo",
Autumn,Mùa thu,
Winter,Mùa đông,
Summer,Mùa hè,
Spring,Mùa xuân,
Around,Vòng quanh,
Sky,Bầu trời,
Bloom,Nở,
Rose,Hoa hồng,
Sunflower,,
"Street, Sugar",Đường,
Snow,Tuyết,
Warm,Ấm,
If,Nếu,
Of,Của,
About,Khoảng,
Degrees,Độ,
Travel,Du lịch,
Weather,"Thời tiết, Trời",
Climate,Khí hậu,
City,Thành phố,
Female,Nữ,
Woman,,
Girls,Cô gái,
Baby girl,Cô bé,
Male,Nam,
Men,Đàn ông,
Boys,Con trai,
Baby boy,Cậu bé,
Many,Nhiều,
A little,"Một ít, một chút",
Kinds,Các loại,
Multiple,Những,
,,
Color,Màu sắc,
Red,Màu đỏ,
Yellow ,Màu vàng,
Pink,Màu hồng,
Purple ,Màu tím,
Green ,Màu xanh lá,
Orange ,Màu cam,
Blue ,Màu xanh dương,"Màu xanh nuoc bien (like ocean water)
Màu xanh troi (like sky)"
Gray ,Màu xám,
Brown ,Màu nâu,
White ,Màu trắng,
Black ,Màu đen,
,,
sunny,có nắng,
cloudy,nhiều mây,
windy,nhiều gió,
rainy,có mưa,
snowy,có tuyết,
stormy,có bão,
foggy,nhiều sương mù,
overcast,âm u,
hot,nóng,
cold,lạng,
dry,khọ,
wet,ẩm ướt ,
,,
Happy,hạnh phúc,
sad,buồn bã,
angry,tức giận ,
scared,sợ hãi,
excited,hào hứng ,
upset,khó chịu,
nervous,hồi hộp ,
suprised,bất ngờ,
tired,mệt mỏi,
ill,bị ốm,
calm,bình tĩnh,
anxious,bồn chồn,
,,
live,Sống
city,Thành phố
with,"Cùng, với"
near,Gần
place,"Chỗ, nơi"
usually,Thường
for,Cho
person,Người
meet,Gặp nhau
distance,Cách
from,Cách
to,Cách
everytime,Mỗi lần
come back visiting,Về thăm
there,Đó
stay,Ở
birthday,Sinh nhật
,,
Father/Dad,"Ba, cha, Bố"
Mother/Mom,"Mẹ, má"
Son,Con trai
Daughter,Con gái
Elder Brother,Anh trai
Younger brother,Em trai
Younger Sister,Em gái
Elder sister,Chị gái
Grandparent,Ông bà
Grandfather/Grandpa,Ông
Grandmother/Grandma,Bà
Grandpa mom side,ông ngoại
Grandpa dad side,Ông nội
Grandma dad side,Bà nội
Grandma mom side,Bà ngoại
Younger Uncle,Chú
Elder uncle,Bác
Aunt (from dad side),Cô
Aunt (from mom side),Gì
Family,Gia đình
Member,Thành viên
Relatives,Họ hàng
Cousin,"Anh chị em họ, Em họ, chị họ, anh họ"
Nephew,Cháu trai
Niece,Cháu gái
Husband,Chồng
Wife,Vợ
Girlfriend,"Bạn gái, người yêu"
Boyfriend,"Bạn trai, người yêu"
Best friend,Bạn thân
Sibling,anh chị em ruột
